Planet,Color,Mass (10^24kg),Diameter (km),Distance from Sun (10^6 km),Aphelion (10^6 km),Orbital Velocity (km/s),Orbital Inclination (degrees),Obliquity to Orbit (degrees),Is Star?
Sun,Yellow,1988400,1392000,0,0,0,7.2,7.25,Yes
Mercury,Grey,0.33,4879,57.9,69.8,47.4,7.0,0.034,No
Venus,Brown Grey,4.87,12104,108.2,108.9,35.0,3.4,177.4,No
Earth,Blue Brown Green White,5.97,12756,149.6,152.1,29.8,0,23.4,No
Mars,Red Brown Tan,0.642,6792,228.0,249.3,24.1,1.8,25.2,No
Jupiter,Brown Orange Tan White,1898,142984,778.5,816.4,13.1,1.3,3.1,No
Saturn,Golden Brown Blue Grey,568,120536,1432.0,1506.5,9.7,2.5,26.7,No
Uranus,Blue Green,86.8,51118,2867.0,3001.4,6.8,0.8,97.8,No
Neptune,Blue,102,49528,4515.0,4558.9,5.4,1.8,28.3,No
